birth_year,avg_name_length,avg_num_consonants,avg_num_vowels,avg_num_non_letter,avg_vowel_percentage,avg_name_is_word
1910,5.6556676951,3.19174312104,2.46392457405,0.0,0.441475342044,0.886433052307
1911,5.68418420188,3.23004556268,2.4541386392,0.0,0.437270170918,0.890087555274
1912,5.71172778194,3.29136795969,2.42035982225,0.0,0.428773404801,0.893136665338
1913,5.7248191909,3.30827429511,2.41654489578,0.0,0.42691260826,0.893488150065
1914,5.73269276566,3.31973074199,2.41296202367,0.0,0.425538592485,0.890523083013
1915,5.73686041702,3.32660661634,2.41025380068,0.0,0.424741932494,0.886591752676
1916,5.74395596338,3.32889265289,2.41506331048,0.0,0.42496129616,0.886272867872
1917,5.75498221158,3.33618759909,2.4187946125,0.0,0.424661238557,0.886382619623
1918,5.75922869502,3.34218897995,2.41703971506,0.0,0.423906991916,0.886154387153
1919,5.75830611861,3.33606043306,2.42224568555,0.0,0.424873644068,0.884046850254
1920,5.77007755745,3.34868633968,2.42139121777,0.0,0.423752277178,0.885359555139
1921,5.77775428521,3.35429745926,2.42345682595,0.0,0.423396019421,0.886533643435
1922,5.77873615224,3.35404114737,2.42469500486,0.0,0.423487026473,0.886651759084
1923,5.78394161334,3.35975444059,2.42418717275,0.0,0.422887976885,0.88757457784
1924,5.77892081594,3.35622123783,2.42269957811,0.0,0.42293645748,0.88828952747
1925,5.77123707947,3.35173251888,2.41950456059,0.0,0.422944834646,0.890186267357
1926,5.77046436007,3.35416801179,2.41629634828,0.0,0.422431276107,0.891719184972
1927,5.76918056462,3.35464522609,2.41453533853,0.0,0.422212966288,0.892472192521
1928,5.77548429566,3.36345446187,2.41202983379,0.0,0.421253984152,0.894173539039
1929,5.76818993465,3.35964432579,2.40854560886,0.0,0.421181902308,0.89593991211
1930,5.7593163803,3.35681340585,2.40250297444,0.0,0.420754609603,0.897700890788
1931,5.75259596468,3.35565047917,2.39694548551,0.0,0.420360085748,0.89859530516
1932,5.74495422277,3.35340801847,2.3915462043,0.0,0.420122045952,0.898760711301
1933,5.73979971924,3.3538867645,2.38591295473,0.0,0.419558704778,0.899312732534
1934,5.73835680273,3.35336804394,2.38498875879,0.0,0.419464336892,0.899908508408
1935,5.75378635551,3.36469553793,2.38909081758,0.0,0.418879923232,0.902298700038
1936,5.75096058106,3.36612753624,2.38483304481,0.0,0.418323840339,0.903120235828
1937,5.74650207543,3.3657727596,2.38072931583,0.0,0.417852602731,0.902693297484
1938,5.74632065524,3.36924710316,2.37707355209,0.0,0.417108964705,0.90441995174
1939,5.74078385531,3.37109727705,2.36968657826,0.0,0.416290297494,0.907895835477
1940,5.73607413779,3.37321060457,2.36286353322,0.0,0.415451978104,0.911102130405
1941,5.74062608431,3.37885512416,2.36177096016,0.0,0.414818758234,0.913899641571
1942,5.75017978806,3.38914130585,2.36103848221,0.0,0.41378101044,0.916187522922
1943,5.74382584139,3.38986889024,2.35395695115,0.0,0.412964408991,0.915959698599
1944,5.73810949258,3.38805847203,2.35005102055,0.0,0.412753257477,0.915905365454
1945,5.73241978837,3.38251940967,2.3499003787,0.0,0.41311326237,0.916652244727
1946,5.73971154027,3.39308895675,2.34662258351,0.0,0.411850078023,0.916309942024
1947,5.73773379636,3.39521164754,2.34252214882,0.0,0.411072426851,0.91678426565
1948,5.75907211969,3.40789359769,2.351178522,0.0,0.410994297389,0.916406635817
1949,5.79176017887,3.43115449151,2.36060568735,0.0,0.41036138877,0.917184266885
1950,5.80258991372,3.43718480749,2.36540510623,0.0,0.41043151261,0.915834107214
1951,5.810403651,3.44087479541,2.36952885559,0.0,0.410476530646,0.91309559912
1952,5.80548477975,3.43741482134,2.36806995841,0.0,0.410530169373,0.910150600153
1953,5.7899256351,3.42332344982,2.36660218528,0.0,0.411276847758,0.906790994418
1954,5.76400593033,3.40616934165,2.35783658869,0.0,0.411446333151,0.903082560385
1955,5.75378591738,3.40164228893,2.35214362846,0.0,0.411035418902,0.898869686783
1956,5.73563230101,3.39254182479,2.34309047623,0.0,0.410635850365,0.897918815226
1957,5.70745924007,3.37398915334,2.33347008673,0.0,0.410855392766,0.898611261718
1958,5.68447724019,3.36000826673,2.32446897347,0.0,0.410874693427,0.898126844411
1959,5.66122998059,3.34700405419,2.3142259264,0.0,0.410604090688,0.898767309196
1960,5.66398505103,3.3479560912,2.31602895983,0.0,0.410747229659,0.897914225784
1961,5.67476992975,3.35366672231,2.32110320745,0.0,0.410775351965,0.894948327067
1962,5.67961324147,3.35871709495,2.32089614653,0.0,0.410462814336,0.894127271207
1963,5.68559078848,3.36347675975,2.32211402873,0.0,0.410588925494,0.893680619758
1964,5.71138506716,3.37925471328,2.33213035388,0.0,0.410483935698,0.888940861084
1965,5.749461346,3.40283219872,2.34662914728,0.0,0.4109164704,0.888422820509
1966,5.78360464526,3.42517090479,2.35843374047,0.0,0.411019272935,0.885846127861
1967,5.80746819822,3.43989675215,2.36757144607,0.0,0.411259160145,0.882803015792
1968,5.83068701532,3.4573031827,2.37338383261,0.0,0.410860893156,0.879371630133
1969,5.85449065026,3.4700965831,2.38439406717,0.0,0.411494365217,0.874202574009
1970,5.87631914549,3.48439673991,2.39192240557,0.0,0.411624754765,0.868044231682
1971,5.90586104791,3.50151608122,2.40434496669,0.0,0.412259661306,0.863446646087
1972,5.94868052286,3.52258691486,2.42609360799,0.0,0.413656836378,0.856563965901
1973,5.96545425161,3.52436860781,2.4410856438,0.0,0.415201343947,0.854914596813
1974,5.96875906778,3.5189985023,2.44976056549,0.0,0.41676575587,0.852806439229
1975,5.9730241363,3.51201022156,2.46101391474,0.0,0.418548649668,0.84710179697
1976,5.98098277968,3.50376989516,2.47721288452,0.0,0.420975250618,0.84620149387
1977,5.99374093565,3.51143673693,2.48230419871,0.0,0.420760227176,0.837814475144
1978,6.02450835248,3.53297100089,2.49153735159,0.0,0.420231560027,0.833885902467
1979,6.03853045081,3.53730367338,2.50122677744,0.0,0.420892076221,0.830905118943
1980,6.04976986731,3.54042112621,2.50934874111,0.0,0.421441930599,0.830480633587
1981,6.07336354453,3.5538003353,2.51956320923,0.0,0.421745494643,0.830655523111
1982,6.11057798169,3.58079813223,2.52977984946,0.0,0.421114799069,0.825254903484
1983,6.12569625295,3.58749351475,2.5382027382,0.0,0.421457879149,0.815571457022
1984,6.14177616811,3.59495473758,2.54682143053,0.0,0.421727256959,0.808401172913
1985,6.15530585328,3.5988635849,2.55644226838,0.0,0.42233765296,0.797498075217
1986,6.165702989,3.60005285434,2.56565013466,0.0,0.422959453613,0.789256504321
1987,6.17281356435,3.59586502768,2.57694853666,0.0,0.42412617685,0.779204015074
1988,6.18792596599,3.59968558326,2.58824038274,0.0,0.42480938102,0.770573657899
1989,6.19921428434,3.5998104338,2.59940385054,0.0,0.425884694428,0.759188191648
1990,6.19286062163,3.58436451799,2.60849610363,0.0,0.427739655585,0.749139849977
1991,6.18262403249,3.56742364377,2.61520038872,0.0,0.429401891682,0.737602746609
1992,6.17852535266,3.55758546391,2.62093988875,0.0,0.430409143887,0.725376136485
1993,6.16680637946,3.54015524173,2.62665113774,0.0,0.432027959751,0.717453160541
1994,6.16151021962,3.52710078844,2.63440943118,0.0,0.433508329147,0.711303366105
1995,6.14932494607,3.51046972182,2.63885522424,0.0,0.435088394914,0.707762735546
1996,6.14271832438,3.49758462944,2.64513369495,0.0,0.436540614622,0.701269821387
1997,6.12465764835,3.47574775612,2.64890989223,0.0,0.438368365612,0.697002587248
1998,6.10163074879,3.45162960316,2.65000114562,0.0,0.440204896524,0.688585749309
1999,6.07926129633,3.42954802291,2.64971327342,0.0,0.44176806558,0.68105588122
2000,6.0652072507,3.40841456084,2.65679268986,0.0,0.444021277503,0.671117321248
2001,6.04393943495,3.37994794614,2.66399148881,0.0,0.44669484476,0.664419016944
2002,6.01829858403,3.35002646419,2.66827211983,0.0,0.449489422542,0.65912236462
2003,5.98459264403,3.31551500894,2.66907763509,0.0,0.452335008824,0.648120724549
2004,5.96841086307,3.29635392509,2.67205693797,0.0,0.454108793303,0.641792476427
2005,5.95573912717,3.27728718687,2.67845194031,0.0,0.456404684744,0.634309043235
2006,5.95625385708,3.26800153353,2.68825232354,0.0,0.45819528278,0.62440349053
2007,5.95207081469,3.25715856982,2.69491224487,0.0,0.459568377239,0.613726851167
2008,5.94237581754,3.24370003939,2.69867577815,0.0,0.460836128266,0.603681626467
2009,5.93238853749,3.23406120966,2.69832732784,0.0,0.461557671485,0.598675904304
2010,5.92502611568,3.22761163991,2.69741447577,0.0,0.461963730793,0.593514972935
2011,5.91282249526,3.21746257098,2.69535992428,0.0,0.46273010098,0.590931280425
2012,5.89477927025,3.20384935813,2.69092991212,0.0,0.463585672122,0.591078429429
2013,5.88702539715,3.19798065522,2.68904474193,0.0,0.463967765369,0.592359264128
2014,5.88375092821,3.19520728716,2.68854364105,0.0,0.464216616124,0.594108704182
2015,5.87382125782,3.1858582767,2.68796298112,0.0,0.46506270568,0.595003621706
